,YEAR_DATE,CARRIER,ORIGIN,ORIGINSTATE,DEST,DEST_STATE_ABR,DEPDELAY,TAXI_OUT,TAXI_IN,ARRDELAY,AIR_TIME,DISTANCE
619086,2007,OH (1),ATL,GA,PVD,RI,0.0,32.0,4.0,21.0,129.0,903.0
4912217,1999,CO,IAH,TX,EWR,NJ,-3.0,20.0,8.0,-7.0,188.0,1400.0
2226908,2014,WN,DAL,TX,MCI,MO,45.0,9.0,4.0,39.0,71.0,460.0
625748,2003,EV,VPS,FL,ATL,GA,195.0,10.0,6.0,191.0,55.0,250.0
2739136,2014,WN,MCO,FL,PHX,AZ,-1.0,17.0,5.0,-5.0,264.0,1849.0
2162184,2016,NK,ORD,IL,PHX,AZ,-7.0,14.0,8.0,-10.0,203.0,1440.0
155194,2010,YV,FAT,CA,PHX,AZ,0.0,25.0,3.0,3.0,75.0,493.0
4617574,2005,UA,LAX,CA,PHL,PA,0.0,18.0,7.0,-12.0,283.0,2401.0
3875421,2011,DL,ATL,GA,MEM,TN,-2.0,26.0,3.0,-9.0,52.0,332.0
3309966,2003,WN,ELP,TX,SAT,TX,8.0,5.0,2.0,0.0,65.0,496.0
3924904,2003,EV,DFW,TX,LIT,AR,0.0,14.0,4.0,-12.0,47.0,304.0
2588389,1997,NW,DTW,MI,DFW,TX,3.0,14.0,6.0,-2.0,143.0,987.0
3268180,2013,WN,MSP,MN,STL,MO,-1.0,16.0,3.0,-2.0,65.0,448.0
4911189,2003,UA,ORD,IL,CMH,OH,-6.0,19.0,4.0,-14.0,44.0,296.0
869682,2012,US,PHX,AZ,ATL,GA,0.0,15.0,7.0,-5.0,185.0,1587.0
3399799,2015,B6,BOS,MA,JFK,NY,4.0,14.0,6.0,-5.0,45.0,187.0
3313510,2013,US,PHL,PA,PIT,PA,-9.0,41.0,4.0,-3.0,46.0,268.0
1596830,2010,MQ,ORD,IL,OMA,NE,2.0,14.0,3.0,17.0,83.0,416.0
2847315,1996,US,PIT,PA,ISP,NY,-3.0,12.0,5.0,-9.0,69.0,375.0
4146357,2001,AA,CVG,KY,DFW,TX,-2.0,13.0,13.0,-11.0,125.0,812.0
298079,2001,HP,PHX,AZ,OMA,NE,0.0,11.0,4.0,0.0,134.0,1037.0
3354572,2005,MQ,DFW,TX,CMI,IL,-6.0,18.0,3.0,-4.0,95.0,693.0
1033229,2003,MQ,DCA,VA,BOS,MA,3.0,9.0,6.0,5.0,62.0,399.0
4450199,2005,WN,LBB,TX,LAS,NV,0.0,3.0,2.0,-10.0,110.0,775.0
3703712,2008,WN,SFO,CA,PHX,AZ,0.0,12.0,4.0,-22.0,82.0,651.0
4801000,2006,UA,HNL,HI,DEN,CO,1.0,23.0,4.0,12.0,384.0,3365.0
217977,2012,MQ,DFW,TX,JAN,MS,-3.0,14.0,4.0,-8.0,57.0,408.0
4465979,2004,HP,PHX,AZ,LAX,CA,-2.0,11.0,10.0,-18.0,52.0,370.0
3057824,2006,OO,SLC,UT,OMA,NE,3.0,16.0,5.0,-6.0,101.0,839.0
4133326,1997,AS,SEA,WA,ANC,AK,0.0,7.0,5.0,-11.0,193.0,1448.0
4693346,2012,DL,ATL,GA,MEM,TN,5.0,15.0,6.0,-10.0,54.0,332.0
3713371,2008,DL,ATL,GA,LIT,AR,-5.0,18.0,4.0,-4.0,74.0,453.0
48624,2011,XE,IAD,VA,CLE,OH,-3.0,12.0,3.0,-5.0,54.0,288.0
1025865,2001,US,CMH,OH,PIT,PA,-4.0,9.0,6.0,10.0,49.0,144.0
2383222,2009,UA,EWR,NJ,ORD,IL,4.0,13.0,4.0,-2.0,111.0,719.0
2312135,2005,AA,CLT,NC,DFW,TX,-2.0,9.0,14.0,-13.0,130.0,936.0
587245,2010,WN,PHX,AZ,AUS,TX,9.0,13.0,3.0,-2.0,103.0,872.0
4632538,2010,FL,RSW,FL,MKE,WI,15.0,13.0,9.0,20.0,164.0,1183.0
1948417,2010,AA,SAT,TX,DFW,TX,3.0,14.0,7.0,-6.0,40.0,247.0
2704655,2013,US,BOS,MA,CLT,NC,-4.0,12.0,3.0,-17.0,102.0,728.0
937688,1995,DL,ATL,GA,PFN,FL,6.0,14.0,3.0,4.0,36.0,247.0
1047846,2002,AA,DFW,TX,ORD,IL,-5.0,8.0,5.0,-17.0,113.0,802.0
840448,2015,B6,PVD,RI,FLL,FL,9.0,9.0,2.0,-9.0,159.0,1188.0
1671998,2011,FL,BWI,MD,BOS,MA,-8.0,14.0,12.0,-8.0,55.0,369.0
4620843,1998,UA,LAX,CA,LAS,NV,19.0,17.0,5.0,11.0,39.0,236.0
3096709,2005,NW,FSD,SD,MSP,MN,-7.0,10.0,8.0,-13.0,34.0,197.0
2531924,1998,CO,PHX,AZ,IAH,TX,-2.0,21.0,12.0,10.0,131.0,1009.0
882178,1998,UA,ORD,IL,IND,IN,-1.0,15.0,7.0,-5.0,28.0,177.0
