,date,price
0,2000-01-01,1394.46
1,2000-02-01,1366.42
2,2000-03-01,1498.58
3,2000-04-01,1452.43
4,2000-05-01,1420.6
5,2000-06-01,1454.6
6,2000-07-01,1430.83
7,2000-08-01,1517.68
8,2000-09-01,1436.51
9,2000-10-01,1429.4
10,2000-11-01,1314.95
11,2000-12-01,1320.28
12,2001-01-01,1366.01
13,2001-02-01,1239.94
14,2001-03-01,1160.33
15,2001-04-01,1249.46
16,2001-05-01,1255.82
17,2001-06-01,1224.38
18,2001-07-01,1211.23
19,2001-08-01,1133.58
20,2001-09-01,1040.94
21,2001-10-01,1059.78
22,2001-11-01,1139.45
23,2001-12-01,1148.08
24,2002-01-01,1130.2
25,2002-02-01,1106.73
26,2002-03-01,1147.39
27,2002-04-01,1076.92
28,2002-05-01,1067.14
29,2002-06-01,989.82
30,2002-07-01,911.62
31,2002-08-01,916.07
32,2002-09-01,815.28
33,2002-10-01,885.76
34,2002-11-01,936.31
35,2002-12-01,879.82
36,2003-01-01,855.7
37,2003-02-01,841.15
38,2003-03-01,848.18
39,2003-04-01,916.92
40,2003-05-01,963.59
41,2003-06-01,974.5
42,2003-07-01,990.31
43,2003-08-01,1008.01
44,2003-09-01,995.97
45,2003-10-01,1050.71
46,2003-11-01,1058.2
47,2003-12-01,1111.92
48,2004-01-01,1131.13
49,2004-02-01,1144.94
50,2004-03-01,1126.21
51,2004-04-01,1107.3
52,2004-05-01,1120.68
53,2004-06-01,1140.84
54,2004-07-01,1101.72
55,2004-08-01,1104.24
56,2004-09-01,1114.58
57,2004-10-01,1130.2
58,2004-11-01,1173.82
59,2004-12-01,1211.92
60,2005-01-01,1181.27
61,2005-02-01,1203.6
62,2005-03-01,1180.59
63,2005-04-01,1156.85
64,2005-05-01,1191.5
65,2005-06-01,1191.33
66,2005-07-01,1234.18
67,2005-08-01,1220.33
68,2005-09-01,1228.81
69,2005-10-01,1207.01
70,2005-11-01,1249.48
71,2005-12-01,1248.29
72,2006-01-01,1280.08
73,2006-02-01,1280.66
74,2006-03-01,1294.87
75,2006-04-01,1310.61
76,2006-05-01,1270.09
77,2006-06-01,1270.2
78,2006-07-01,1276.66
79,2006-08-01,1303.82
80,2006-09-01,1335.85
81,2006-10-01,1377.94
82,2006-11-01,1400.63
83,2006-12-01,1418.3
84,2007-01-01,1438.24
85,2007-02-01,1406.82
86,2007-03-01,1420.86
87,2007-04-01,1482.37
88,2007-05-01,1530.62
89,2007-06-01,1503.35
90,2007-07-01,1455.27
91,2007-08-01,1473.99
92,2007-09-01,1526.75
93,2007-10-01,1549.38
94,2007-11-01,1481.14
95,2007-12-01,1468.36
96,2008-01-01,1378.55
97,2008-02-01,1330.63
98,2008-03-01,1322.7
99,2008-04-01,1385.59
100,2008-05-01,1400.38
101,2008-06-01,1280.0
102,2008-07-01,1267.38
103,2008-08-01,1282.83
104,2008-09-01,1166.36
105,2008-10-01,968.75
106,2008-11-01,896.24
107,2008-12-01,903.25
108,2009-01-01,825.88
109,2009-02-01,735.09
110,2009-03-01,797.87
111,2009-04-01,872.81
112,2009-05-01,919.14
113,2009-06-01,919.32
114,2009-07-01,987.48
115,2009-08-01,1020.62
116,2009-09-01,1057.08
117,2009-10-01,1036.19
118,2009-11-01,1095.63
119,2009-12-01,1115.1
120,2010-01-01,1073.87
121,2010-02-01,1104.49
122,2010-03-01,1140.45
